Ortsname                          Breite    Laenge
Bad Klosterlausnitz               50n55     11e52
Bad Koenig                        49n45     9e1
Bad Koesen                        51n8      11e43
Bad Koestritz                     50n56     12e1
Bad Kohlgrub                      47n40     11e3
Bad Kreuznach                     49n52     7e51
Bad Krozingen                     47n55     7e43
Bad Langensalza                   51n6      10e38
Bad Lauchstaedt                   51n23     11e52
Bad Lausick                       51n8      12e38
Bad Lauterberg im Harz            51n38     10e28
Bad Liebenstein                   50n49     10e21
Bad Liebenwerda                   51n31     13e23
Bad Liebenzell                    48n46     8e44
Bad Lippspringe                   51n46     8e49
Bad Meinberg                      51n53     8e58
Bad Mergentheim                   49n30     9e46
Bad Mingolsheim                   49n14     8e39
Bad Muender                       52n12     9e27
Bad Muenster am Stein             49n49     7e51
Bad Muenstereifel                 50n33     6e46
Bad Mukran                        54n26     13e35
Bad Muskau                        51n32     14e43
Bad Nauheim                       50n22     8e44
Bad Nenndorf                      52n20     9e22
Bad Neuenahr-Ahrweiler            50n33     7e8
Bad Neustadt an der Saale         50n19     10e13
Bad Niedernau                     48n27     8e53
Bad Oeynhausen                    52n12     8e48
Bad Oldesloe                      53n48     10e22
Bad Orb                           50n14     9e20
Bad Peterstal                     48n26     8e12
Bad Polzin                        53n46     16e6
Bad Pyrmont                       51n59     9e15
Bad Rappenau                      49n14     9e6
Bad Rehburg                       52n26     9e13
Bad Reichenhall                   47n43     12e52
Bad Rippoldsau                    48n26     8e19
Bad Rothenfelde                   52n6      8e9
Bad Saarow-Pieskow                52n17     14e3
Bad Sachsa                        51n36     10e32
Bad Salzdetfurth                  52n3      10e1
Bad Salzig                        50n12     7e38
Bad Salzschlierf                  50n37     9e29
Bad Salzuflen                     52n5      8e44
Bad Salzungen                     50n48     10e13
Bad Sassendorf                    51n33     8e10
Bad Schandau                      50n55     14e10
Bad Schmiedeberg                  51n41     12e44
Bad Schwalbach                    50n8      8e4
Bad Schwartau                     53n55     10e40
Bad Segeberg                      53n56     10e17
Bad Soden bei Fulda               50n17     9e22
Bad Soden im Taunus               50n8      8e30
Bad Soden-Salmuenster             50n17     9e22
Bad Sooden-Allendorf              51n16     9e58
Bad Steben                        50n22     11e38
Bad Stuer                         53n22     12e19
Bad Suderode                      51n44     11e7
Bad Suelze                        54n6      12e38
Bad Sulza                         51n5      11e37
Bad Teinach                       48n41     8e41
Bad Tennstedt                     51n9      10e50
Bad Toelz                         47n46     11e34
Bad Vilbel                        50n12     8e42
Bad Waldsee                       47n55     9e45
Bad Warmbrunn                     50n52     15e41
Bad Westernkotten                 51n38     8e21
Bad Wiessee                       47n43     11e43
Bad Wildungen                     51n7      9e7
Bad Wilsnack                      52n57     11e57
Bad Wimpfen                       49n14     9e9
Bad Windsheim                     49n31     10e25
Bad Woerishofen                   48n0      10e36
Bad Wurzach                       47n54     9e54
Badel                             52n44     11e19
Baden                             53n0      9e4
Baden-Baden                       48n46     8e14
Badenweiler                       47n48     7e40
Badersleben                       51n59     10e53
Baerenklau                        51n56     14e34
Baerenstein/Chemnitz              50n30     13e2
Baerenstein/Dresden               50n48     13e47
Baerenstein/Karl-Marx-Stadt       50n30     13e2
Baerl                             51n29     6e41
Baernau                           49n49     12e26
Baerwalde                         52n46     14e30
Baesweiler                        50n54     6e11
Bagband                           53n21     7e36
Bagrationovs                      54n23     20e39
